id,company_name,website,industry,sub_industry,employee_structure,main_phone,founded,social_media,client_scope,clients,hq,locations,market_share
C00001,Speed Routes Trains,kttp://www.speedroutestrains.com,Transportation,Train,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee:P2f63]",Work: (833) 732-7068,2064,[],Regional,"[P7e87, P2b9f, Pdb22, Pc4e9, P9faa, P70c4, P72d0, P05ad, P7fb1, P6faa, P77e8, Pccdd, P0b84, P9005, Pf788, P02c9, Pe8f5]","Business: 628 Jane Alley, North Kristen, IN - 47217",[],0.86
C00002,InnoWare Wireless,kttps://www.innowarewireless.com,Technology,Mobile Providers,"[Owner, Manager, Manager:P8e95, Employee, Employee, Employee, Employee, Employee]",Work: (948) 856-6171,2087,[],Regional,"[Pc125, Pc560, P95c1]","Business: 97491 Randy Station , Smithport, WA - 99155",[],0.25
C00003,InstitutePlace University,kttps://www.instituteplaceuniversity.com,Education,University,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (859) 427-4158,2097,[],Regional,"[Pebce, Paee9]","Business: 2185 Jason Divide, Josephton, TN - 37289",[],0.18
C00004,Drive Trails Motors,kttp://www.drivetrailsmotors.com,Automotive,Dealership,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (656) 333-9647,2003,[],Regional,"[P40ce, P6a31, P12c3, P4f5e, P9dda, Pad7b, Pfeea, Pbcb3, P6f3c]","Business: 281 Michael Village, Port Madisonshire, VA - 23005",[],0.76
C00005,SoundBeat Games,kttp://www.soundbeatgames.com,Entertainment,Gaming,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (679) 294-3234,2098,[],Regional,"[Pf619, P054f, Pea0f, P8eb4, Pa33c, P833d, P1ac2, Paba6, P6c64, P4f71, P8b2c, P8bdf]","Business: 509 Bean View , Lake Carrie, NV - 89117",[],0.39
C00006,HealthCare Care,kttp://www.healthcarecare.com,Healthcare,Pharmaceutical,"[Owner:P51c8, Manager, Manager, Employee, Employee, Employee, Employee:P3f61, Employee]",Work: (519) 925-2488,2092,[],Regional,"[P69b2, P3017, P93a5, Pb929]","Business: 45647 Vang Avenue, Reneeton, NJ - 07514",[],0.32
C00007,CapitalVault Lend,kttp://www.capitalvaultlend.com,Finance,Loans / Mortgage Lender,"[Owner, Manager, Manager, Employee:P4f5e, Employee, Employee, Employee, Employee]",Work: (152) 767-7996,2098,[],Regional,[P72d0],"Business: 5133 Tammy Mission , South Douglaschester, MI - 48098",[],0.14
C00008,Yum Dine Craft,kttp://www.yumdinecraft.com,Food and Beverage,Beverage Manufacture,"[Owner, Manager:P2b9f, Manager, Employee:P45c4, Employee, Employee, Employee:Pebce, Employee]",Work: (857) 992-2519,2066,[],Regional,"[P5610, P8a43, Pa794, P1ee0, P2835, P1dd3, P8df0, P2cda, P36bf, P3b53, Pb5ba, P3838, Pf6c8, Paee9, P0a35]","Business: 11 Rachel Spring , South John, GA - 30772",[],0.8
C00009,CineQuest Pastime,kttp://www.cinequestpastime.com,Entertainment,Hobbies,"[Owner, Manager, Manager, Employee:P3017, Employee, Employee:P72d0, Employee, Employee:P11b9]",Work: (614) 653-3303,2098,[],Regional,"[P77e8, P02c9]","Business: 563 Robin Ramp, North Danmouth, OH - 45650",[],0.17
C00010,School Center School,kttp://www.schoolcenterschool.com,Education,Technical / Trade School,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]",Work: (864) 386-3333,2088,[],Regional,"[P3bce, Pd893, P1f00, P66ef, P80d0, Pde00, P2dd6, P22ba]","Business: 40322 Rush Shore, Port Aaron, OK - 73125",[],0.59
