id,company_name,website,industry,sub_industry,founded,client_scope,hq,market_share,abbreviation
C00004,WealthTech Hedge,kttp://www.wealthtechhedge.com,Finance,Hedge Fund,2098,Male,"Business: 879 Cain Dam , West Adam, OH - 44064",0.55,WTH
C00029,FinanceHub Capital,kttps://www.financehubcapital.com,Finance,Bank,2059,Female,"Business: 21879 Ryan Junctions , Scotthaven, RI - 02815",0.22,FHC
C00059,MoneyWise Fund,kttp://www.moneywisefund.com,Finance,Investment Firm,2093,National,"Business: 55361 Humphrey Trace , Jasonbury, WY - 82858",0.77,MWF
C00061,Money Vault Mortgage,kttp://www.moneyvaultmortgage.com,Finance,Loans / Mortgage Lender,2097,Male,"Business: 925 Gwendolyn Vista , Lambport, CT - 06357",0.35,MVM
C00065,Invest Capital,kttps://www.investcapital.com,Finance,Hedge Fund,2098,Regional,"Business: 624 Amy Flat, Port Kendramouth, MD - 21413",1.0,IC
C00072,Money Wise Fund,kttp://www.moneywisefund.com,Finance,Hedge Fund,2099,Male,"Business: 79027 Donovan Knolls, Kyleberg, NH - 03206",0.8,MWF
C00074,MoneyWise Bank,kttps://www.moneywisebank.com,Finance,Bank,2098,Male,"Business: 4839 Jennifer Isle, Hoodview, TN - 38446",0.55,MWB
C00077,Finance Vault Finance,kttp://www.financevaultfinance.com,Finance,Bank,1953,Regional,"Business: 417 Michael Port , Port Rachel, UT - 84173",0.54,FVF
C00091,CapitalTech Lend,kttps://www.capitaltechlend.com,Finance,Loans / Mortgage Lender,2082,Local,"Business: 5354 Madison Motorway , Schultzhaven, AR - 72339",0.56,CTL
C00097,Invest Tech Loans,kttps://www.investtechloans.com,Finance,Loans / Mortgage Lender,2084,Local,"Business: 60 Taylor Meadow, Obrienburgh, MT - 59804",0.14,ITL
C00099,Invest Vault Trust,kttps://www.investvaulttrust.com,Finance,Bank,2098,Local,"Business: 150 Benjamin Plains , South Timothy, SD - 57696",0.75,IVT
