company_name,employee_structure
LearnCenter School,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Finance Wise Wealth,"[Owner, Manager, Manager, Employee, Employee, Employee:Pfa82, Employee, Employee:P1512]"
Story Chic Arena,"[Owner, Manager, Manager, Employee, Employee:Pf4f6, Employee, Employee, Employee:Pb00e]"
Logic Tech,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee:Pf3ff, Employee]"
Knowledge Elementary School,"[Owner:P9fc5, Manager, Manager:P3e85, Employee:P8443, Employee:P9500, Employee:P5e11, Employee:P47bb, Employee:P33a9]"
CraveEats Desserts,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
A Taste ofDelight Food,"[Owner, Manager, Manager, Employee, Employee, Employee:Pe741, Employee, Employee:P9385]"
Speed Air,"[Owner, Manager, Manager:Pc9bf, Employee:Pb602, Employee:Pad2f, Employee, Employee, Employee]"
StoryQuest Press,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
ExploreHaven Stay,"[Owner:P6b45, Manager, Manager, Employee:Pd98f, Employee, Employee, Employee:P262c, Employee]"
WealthHub Invest,"[Owner:Pc05c, Manager, Manager, Employee, Employee, Employee:P89ca, Employee, Employee]"
StudyPlace Primary,"[Owner, Manager:Pbded, Manager, Employee, Employee, Employee:Pb42b, Employee, Employee]"
TasteEats Craft,"[Owner, Manager, Manager, Employee:P855b, Employee, Employee, Employee, Employee]"
LearnCenter High,"[Owner:P1da8, Manager:P1179, Manager, Employee, Employee, Employee, Employee, Employee]"
FitCare Doc,"[Owner, Manager:P1a29, Manager:P65ab, Employee, Employee:P14dd, Employee, Employee, Employee]"
DrivePath Motors,"[Owner, Manager, Manager, Employee:P0175, Employee, Employee, Employee, Employee]"
Byte Solutions Hub,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee:P83d8, Employee]"
FinanceVault Capital,"[Owner, Manager, Manager, Employee, Employee:Pbb0f, Employee, Employee, Employee]"
Learn Center Trade,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
TransitPath Courier,"[Owner, Manager, Manager, Employee, Employee:Pe005, Employee, Employee, Employee]"
DineroVault Crypto,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Style Pastime,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
SelectStore Chic,"[Owner, Manager, Manager, Employee:P5f5b, Employee, Employee, Employee, Employee]"
Feast Sip Taste,"[Owner, Manager, Manager, Employee, Employee:P8367, Employee, Employee, Employee]"
Fund Tech Bank,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Transit Ways Delivery,"[Owner, Manager, Manager, Employee, Employee, Employee:P44a9, Employee, Employee]"
StyleChic Media,"[Owner, Manager, Manager, Employee, Employee, Employee:P916d, Employee, Employee]"
Play Pastime,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee:P93bf, Employee]"
Cyber Solutions Connect,"[Owner, Manager, Manager:Pec34, Employee, Employee, Employee:P48ee, Employee:P83cf, Employee:P545c]"
AcademyHub Middle,"[Owner, Manager, Manager, Employee, Employee, Employee:Pfb0a, Employee, Employee]"
Finance Vault Finance,"[Owner:P016b, Manager, Manager:Pd7fd, Employee, Employee, Employee, Employee:P7d92, Employee]"
Star Quest Arena,"[Owner, Manager:P301e, Manager, Employee:Pdedf, Employee, Employee, Employee, Employee]"
Yum Delight Quick,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
ZoomWagon Repair,"[Owner, Manager, Manager, Employee, Employee, Employee:P61aa, Employee, Employee]"
Institute Place Trade,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
Inno Produce,"[Owner:P783a, Manager, Manager, Employee, Employee, Employee, Employee:P5723, Employee]"
Code Sync Connect,"[Owner:P62c8, Manager, Manager, Employee, Employee:Pab22, Employee, Employee, Employee]"
Taste Dine Bread,"[Owner, Manager, Manager, Employee, Employee, Employee:P7a27, Employee:P6755, Employee]"
Relax Charm Clean,"[Owner, Manager, Manager, Employee, Employee, Employee, Employee, Employee]"
SelectStore Fresh,"[Owner, Manager, Manager, Employee, Employee:Pb202, Employee, Employee, Employee]"
Invest Edge Finance,"[Owner, Manager, Manager, Employee, Employee:P71b0, Employee, Employee:P77e3, Employee]"
City Wagon Rentals,"[Owner, Manager:P04d4, Manager, Employee:P40c2, Employee:Pb147, Employee, Employee, Employee]"
InvestTech Fund,"[Owner:P8ed0, Manager:P7ca0, Manager, Employee, Employee, Employee:P060e, Employee:P5dfb, Employee]"
Commute Express Courier,"[Owner, Manager:Pfe75, Manager, Employee, Employee, Employee, Employee, Employee]"
TrendOutlet Bulk,"[Owner, Manager, Manager, Employee, Employee, Employee:P882a, Employee, Employee]"
MoneyHub Finance,"[Owner, Manager:Pecfa, Manager:P59d2, Employee:P17ab, Employee, Employee, Employee, Employee]"
TransitWays Boating,"[Owner, Manager, Manager:P19ba, Employee:Pa28b, Employee:Pb572, Employee, Employee, Employee:P7d9b]"
